aaa,9973034,8225,154,320
aab,9891953,8538,213,346
aac,9854417,7252,46,85
aad,9673617,7284,508,795
aae,9547537,10054,113,225
aaf,9981839,8915,61,111
aag,9728609,8838,192,439
aba,9898180,6411,140,203
abb,9919293,9161,14,42
abc,9556064,9146,5,12
abd,9802674,10162,40,59
abe,9855735,9815,76,233
abf,9679243,9706,156,326
abg,9795136,9065,110,277
aca,9794256,8516,135,211
acb,9978605,10215,91,224
acc,9899709,10451,48,119
acd,9994580,10477,262,448
ace,9811362,8150,100,142
acf,9985047,9446,114,189
acg,9944838,8738,278,396
ada,9623077,8384,70,133
adb,9894238,9343,145,379
adc,9886221,8920,43,95
add,9938543,7749,103,152
ade,9558274,8623,44,126
adf,9997450,8971,67,115
adg,9975919,9089,190,355
aea,9519428,7894,115,220
aeb,9827034,8826,148,230
aec,9765107,8247,26,67
aed,9265355,10045,38,90
aee,9273252,9313,29,80
aef,9948451,7894,92,220
aeg,9898714,7669,297,442
afa,9808694,9451,238,471
afb,9983194,9552,175,334
afc,9952567,7212,22,64
afd,9905938,9258,308,491
afe,9616115,10089,27,52
aff,9930198,8565,130,211
afg,9951608,8262,232,412
aga,9899341,7881,18,39
agb,9804566,8190,624,910
agc,9677669,9929,25,76
agd,9769510,8236,6,16
age,9970419,10785,75,124
agf,9970883,10273,64,172
agg,9770462,7608,16,52
baa,9485678,9060,59,160
bab,9802701,7779,91,206
bac,9926849,10194,126,303
bad,9654638,8109,19,47
bae,9812646,9576,71,129
baf,9767068,8686,227,379
bag,9691633,8389,426,893
bba,9897289,8831,48,141
bbb,9974111,8777,151,315
bbc,9847283,8080,218,464
bbd,9974659,8183,27,96
bbe,9920342,9335,9,25
bbf,9893558,9564,243,431
bbg,9914224,8314,301,540
bca,9949400,9391,6,10
bcb,9872950,10480,96,157
bcc,9982527,8739,79,169
bcd,9883720,10495,39,87
bce,9908534,9296,189,291
bcf,9937170,9290,136,259
bcg,9787223,10672,28,81
bda,9993139,9043,102,335
bdb,9822330,9403,8,32
bdc,9700767,9310,654,1315
bdd,9777475,9970,51,73
bde,9572065,8863,33,66
bdf,9819203,10118,86,229
bdg,9756260,10358,18,60
bea,9831557,9976,547,971
beb,9761863,8867,229,388
bec,9864071,9127,348,592
bed,9972189,9357,193,374
bee,9961015,7507,471,906
bef,9838803,10405,31,64
beg,9910148,6996,122,237
bfa,9902876,7926,282,420
bfb,9985408,8995,90,172
bfc,9759737,9586,106,247
bfd,9973740,10355,44,78
bfe,9970189,8873,20,35
bff,9988394,9650,339,462
bfg,9951732,9688,72,187
bga,9855577,9321,153,318
bgb,9672978,9557,194,325
bgc,9936277,7901,96,229
bgd,9638903,8151,115,198
bge,9952163,9371,92,156
bgf,9973068,9934,268,412
bgg,9849456,10435,306,442
caa,9733063,8880,108,237
cab,9805754,11259,38,185
cac,9934865,9267,45,128
cad,9694894,9788,115,225
cae,9987271,9314,130,293
caf,9970833,9044,130,226
cag,9891710,10018,74,134
cba,9865000,8358,221,340
cbb,9950857,10440,93,201
cbc,9892903,8903,99,189
cbd,9896874,7439,213,283
cbe,9993128,8956,143,383
cbf,9866548,8212,122,280
cbg,9927467,9695,39,76
cca,9896048,9924,13,40
ccb,9814949,8404,278,522
ccc,9983041,10803,130,268
ccd,9965007,10025,33,97
cce,9523577,8880,193,380
ccf,9893223,8810,344,573
ccg,9993863,7608,23,78
cda,9974110,8230,16,40
cdb,9963799,8936,11,30
cdc,9735395,9810,266,553
cdd,9881040,9589,124,211
cde,9904656,6698,7,17
cdf,9979675,7778,142,216
cdg,9926087,9885,49,218
cea,9823475,8497,152,237
ceb,9671751,9022,101,247
cec,9757480,8667,88,158
ced,9875165,10185,223,391
cee,9770302,8821,318,555
cef,9847442,9058,107,207
ceg,9938304,8240,287,436
cfa,9985085,7960,210,292
cfb,9932015,8372,40,147
cfc,9874819,9827,114,217
cfd,9975436,8139,74,162
cfe,9567897,8809,149,232
cff,9981263,10013,209,496
cfg,9630230,9151,34,66
cga,9917784,8347,19,67
cgb,9932350,10076,22,56
cgc,9955472,9287,290,515
cgd,9918734,8629,133,292
cge,9983856,8676,62,222
cgf,9475045,8227,78,146
cgg,9852337,9529,65,225
daa,9954448,8810,36,77
dab,9568537,7994,58,165
dac,9917201,9867,112,264
dad,9830301,9453,5,8
dae,9912505,10132,136,270
daf,9426590,10040,61,90
dag,9851838,8804,208,295
dba,9775321,8954,124,199
dbb,9936240,8492,50,101
dbc,9911791,8102,365,680
dbd,9930941,8976,86,153
dbe,9733959,10328,32,64
dbf,9590672,10741,220,615
dbg,9575461,9828,89,194
dca,9907848,10639,64,150
dcb,9921149,9055,95,133
dcc,9637708,8551,7,12
dcd,9613124,8294,5,7
dce,9866269,8824,79,157
dcf,9755095,10576,274,517
dcg,9622517,8478,25,71
dda,9878160,7851,215,332
ddb,9954164,8885,493,1086
ddc,9839823,10427,243,369
ddd,9891624,7116,294,511
dde,9911160,8208,75,149
ddf,9497069,8494,21,69
ddg,9956784,7514,78,139
dea,9707954,8443,251,433
deb,9865547,7978,271,537
dec,9952666,8980,295,556
ded,9976471,7655,287,475
dee,9896094,11326,84,289
def,9995192,9598,24,59
deg,9658900,9463,341,500
dfa,9840788,8903,226,352
dfb,9947887,8317,86,147
dfc,9856323,8736,107,218
dfd,9987754,7422,153,286
dfe,9995895,9096,141,205
dff,9889036,9463,294,391
dfg,9887105,8849,66,224
dga,9978293,9775,33,96
dgb,9986458,8564,7,24
dgc,9993466,9006,14,51
dgd,9666652,9581,38,124
dge,9973957,9695,41,125
dgf,9904021,9668,25,77
dgg,9968225,8226,82,160
eaa,9829174,8714,8,21
eab,9720220,8935,230,489
eac,9942614,9266,11,28
ead,9869861,8897,41,139
eae,9977821,8881,46,75
eaf,9884693,8874,54,92
eag,9968746,10160,164,301
eba,9725676,9965,200,318
ebb,9913312,6711,14,51
ebc,9955933,10001,8,30
ebd,9664410,10436,63,180
ebe,9984636,9042,62,111
ebf,9877862,8130,79,156
ebg,9911395,7860,38,70
eca,9720675,8840,115,198
ecb,9887181,7984,60,121
ecc,9607630,8653,224,373
ecd,9928097,8195,98,287
ece,9709792,9354,164,235
ecf,9960932,7588,193,386
ecg,9957943,9769,82,130
eda,9911375,9754,287,483
edb,9903355,8846,43,122
edc,9824502,7003,113,243
edd,9807946,7910,130,228
ede,9940340,9409,424,655
edf,9909464,9036,136,217
edg,9947106,9785,48,121
eea,9974186,8450,77,291
eeb,9823179,8118,204,293
eec,9731883,8652,36,69
eed,9738302,9565,34,155
eee,9839295,8266,31,102
eef,9877754,8883,13,37
eeg,9763730,9822,126,242
efa,9932394,7683,18,91
efb,9981904,10005,12,31
efc,9992876,9615,22,79
efd,9967721,9626,71,169
efe,9763058,8869,421,908
eff,9775608,10745,102,187
efg,9996827,9752,103,164
ega,9926046,10111,28,99
egb,9785125,11090,34,113
egc,9877903,9845,174,338
egd,9721745,8733,216,344
ege,9891819,8936,52,146
egf,9929775,8696,186,313
egg,9720003,9257,130,267
faa,9897331,8690,163,264
fab,9598485,8739,57,122
fac,9940073,7956,352,537
fad,9414756,8350,13,41
fae,9977624,7824,213,344
faf,9963035,8974,28,55
fag,9619839,10591,122,220
fba,9925472,8321,282,385
fbb,9946597,7626,79,197
fbc,9722978,9824,135,250
fbd,9642915,11852,77,151
fbe,9719093,10208,189,324
fbf,9984358,9214,102,168
